n	row_ratio	col_ratio	offset
128895	4.932689398347492	4.932704914853175	2
129181	4.933233215410935	4.933256438640357	3
129466	4.93368142987348	4.9336891539091345	1
129752	4.934174425057032	4.934189839077625	2
130038	4.9342038481059385	4.934226918285424	3
130324	4.9344940302630365	4.934524722998066	4
130610	4.934913100068908	4.934928412832096	2
130895	4.935276366553344	4.935299285687001	3
131181	4.935569937719639	4.935615676050648	6
131467	4.935664463325398	4.935672069796984	1
131753	4.936176026352341	4.936198796232344	3
132039	4.936579343981703	4.936586917501647	1
132324	4.936987999153593	4.937003113569723	2
132610	4.937327501696704	4.937335042606138	1
132896	4.93813959788105	4.938154647242957	2
133182	4.938332507395894	4.938340015918067	1
133468	4.938906704228729	4.9389291815266585	3
133753	4.939193887239912	4.939231269579	5
134039	4.939435537418214	4.939480300509553	6
134325	4.939668713940071	4.939683603201191	2
134611	4.939707750481015	4.939715179294411	1
134897	4.940295188180612	4.9403100143072125	2
135182	4.940576408101671	4.940605997839949	4
135468	4.940797826793044	4.940812590427259	2
135754	4.941136172783122	4.941150905314024	2
136040	4.9414583945898265	4.941473096148192	2
136326	4.941581209747223	4.941588545105116	1
136611	4.941805564705624	4.941820204815132	2
136897	4.941532685157454	4.941547294681403	2
137183	4.9420190548391565	4.942048212970995	4
137469	4.942096036197252	4.942103310564564	1
137755	4.942092845994701	4.942129142317883	5
138040	4.941813966966097	4.941857432628224	6
138326	4.9421945259748705	4.942201755273773	1
138612	4.942436441289354	4.942465298819727	4
138898	4.942410977839853	4.9424541750061195	6
139183	4.942895324860077	4.942902509645575	1
139469	4.943155826742861	4.9432060171077445	7
139755	4.943572680762763	4.9436156130371005	6
140041	4.943630793838947	4.943637934604865	1
140327	4.943866825343662	4.943895330193049	4
140612	4.943838363724291	4.943845475492846	1
140898	4.94430013201039	4.944364008005792	9
141184	4.944512126019945	4.944519208975521	1
141470	4.944998939704531	4.945013076977451	2
141756	4.94534975591862	4.945363864668868	2
142041	4.945874782633183	4.9458818228539645	1
142327	4.9464191615083575	4.946440239729637	3
142613	4.946512590016338	4.946547649933737	5
142899	4.947025521522194	4.947032519471795	1
143185	4.947271013025107	4.947277996996892	1
143470	4.947975186450129	4.947989126646686	2
143756	4.948301288294054	4.948336069451014	5
144042	4.948688576942836	4.948695519362408	1
144328	4.948804112854055	4.948817970179037	2
144614	4.949071320895626	4.949092065775098	3
144899	4.94925430817328	4.949261209532157	1
145185	4.949912181010435	4.94992595653821	2
145471	4.95007252304583	4.950079397268184	1
145757	4.950787955295458	4.950794816029418	1
146043	4.950973343467335	4.950987038064132	2
146328	4.951260182603466	4.951294352413756	5
146614	4.951457568854271	4.9514780307474044	3
146900	4.951783526208305	4.951790333560245	1
147186	4.952026687320805	4.9520334814452465	1
147472	4.952574047954866	4.9525808289031135	1
147757	4.9526046143329925	4.952611382201859	1
148043	4.952628628168843	4.952635382963058	1
148329	4.953104247989267	4.953131215069204	4
148615	4.953665511556707	4.953678969148471	2
148901	4.954184323812466	4.954197755555705	2
149186	4.954131084686231	4.954151193811752	3
149472	4.954064975380004	4.9540783558124595	2
149758	4.954386410074921	4.954419797272934	5
150044	4.954699954679961	4.954726613526699	4
150330	4.955245127386417	4.955251779418612	1
150615	4.95542940610165	4.955436045546592	1
150901	4.955785581275141	4.95579883499778	2
151187	4.95604780834331	4.956054422668616	1
151473	4.95659952598813	4.956632535171285	5
151758	4.957043450757126	4.957056629634023	2
152044	4.957019020809765	4.957045328983715	4
152330	4.95724414100965	4.957276964485	5
152616	4.957442207894323	4.957474969858993	5
152902	4.957462950124917	4.957469490261737	1
153187	4.957437641575329	4.95745722548258	3
153473	4.957849263388349	4.957855779192431	1
153759	4.958239842870986	4.958252850239661	2
154045	4.958414748936999	4.958421240546594	1
154331	4.958776914553784	4.958802832872204	4
154616	4.958885238267708	4.958891705903658	1
154902	4.959232288801952	4.959245200191089	2
155188	4.959539397376086	4.959545841173287	1
155474	4.959864671906557	4.959871103850161	1
155760	4.960509758602979	4.960529019003595	3
156045	4.960511390944919	4.9605177993527505	1
156331	4.960839500802784	4.960845897486743	1
156617	4.961549512505028	4.961575052516649	4
156903	4.961912774134338	4.9619255208632085	2
157189	4.962134754976494	4.962160202049762	4
157474	4.962501746320028	4.962514446829318	2
157760	4.962645791075051	4.962652129817444	1
158046	4.962934841754932	4.962941169026739	1
158332	4.9631407422378295	4.963147058080489	1
158618	4.963390031396185	4.963427858124551	6
158903	4.963449399948396	4.963468279390572	3
159189	4.963728649592623	4.963747495115869	3
159475	4.963599310236714	4.96361812196269	3
159761	4.963783401455925	4.963795920155732	2
160047	4.963854367779465	4.963860615944067	1
160332	4.964336501758851	4.9643427388169545	1
160618	4.96431906760139	4.964331519505908	2
160904	4.964220901904241	4.964258191219609	6
161190	4.964240957875798	4.964265773310999	4
161476	4.964397185959523	4.964415764571825	3
161761	4.965164656499404	4.965170838459208	1
162047	4.965269335439718	4.965275506488858	1
162333	4.965663173846353	4.965675494200194	2
162619	4.965698965065583	4.965723562437353	4
162905	4.96620729873239	4.966213437279396	1
163190	4.966370488387769	4.966376616214228	1
163476	4.966680124299591	4.966686241405466	1
163762	4.966860443814804	4.9668787630830105	3
